,Latitude,Location,Longitude
157,28°53'N,Kichha,79°30'E
158,26°00'N,Assam,93°00'E
159,28°41'N,Kichha,79°18'E
160,37°35'N,Atrauli,53°58'E
161,33°06'N,Kilar,76°25'E
162,11°35'N,Attur,78°30'E
163,18°34'N,Kirkee,73°56'E
164,26°28'N,Auraiya,79°33'E
165,26°03'N,Kishanganj,88°14'E
166,24°45'N,"Aurangabad, Bihar",84°18'E
167,26°34'N,"Kishangarh, Raj.",74°52'E
168,19°50'N,"Aurangabad, Maharashtra",75°23'E
169,27°50'N,"Kishangarh, Raj.",70°30'E
170,33°55'N,Awantipur,75°03'E
171,33°20'N,Kishtwar,75°48'E
172,26°05'N,Azamgarh,83°13'E
173,24°33'N,Kivarli,72°46'E
174,24°14'N,Azimganj,88°16'E
175,26°22'N,Koch Bihar,89°29'E
176,27°21'N,Babai/Sarju,81°23'E
177,25°15'N,Kochas,83°56'E
178,25°33'N,Baberu,80°43'E
179,09°58'N,Kochi/Cochin,76°20'E
180,26°49'N,Babuhri,69°43'E
181,24°28'N,Kodarma,85°36'E
182,25°35'N,Bachhwara,85°54'E
183,20°46'N,Kodinar,70°46'E
184,22°07'N,Bada Barabil,85°24'E
185,25°35'N,Kohima,94°10'E
186,11°35'N,Badagara,75°40'E
187,34°12'N,Kolahoi,75°22'E
188,22°10'N,Badampahar,86°10'E
189,13°12'N,Kolar,78°15'E
190,30°45'N,Badarinath,79°30'E
191,12°58'N,Kolar Gold Fields,78°16'E
192,34°01'N,Badgom,74°45'E
193,25°14'N,Kolaras,77°36'E
194,30°44'N,Badrinath,79°79'E
195,27°50'N,Kolayat,72°50'E
196,21°30'N,Bagasra,71°00'E
197,16°43'N,Kolhapur,74°15'E
198,22°19'N,Bagaud,75°53'E
199,22°36'N,Kolkata,88°24'E
200,25°32'N,Baghain,81°01'E
201,08°50'N,Kollam/Quilon,76°38'E
202,24°05'N,Bagodar,85°52'E
203,24°15'N,Kolosib,92°45'E
204,26°53'N,Bah,78°36'E
205,26°00'N,Konch,79°10'E
206,26°16'N,Bahadurganj,87°49'E
207,21°50'N,Koral,73°12'E
208,28°40'N,Bahadurgarh,76°57'E
209,22°20'N,Korba,82°45'E
210,24°02'N,Baharampur,88°27'E
211,24°07'N,Korwai,78°05'E
212,28°45'N,Baheri,79°34'E
213,27°48'N,Kosi,77°29'E
214,27°45'N,Bahgul,79°36'E
215,28°41'N,Kosi,78°57'E
216,27°38'N,Bahraich,81°37'E
217,30°35'N,Kot Kapura,74°50'E
218,27°51'N,Bahror,76°20'E
219,25°14'N,Kota,75°49'E
220,22°06'N,Baihar,80°33'E
221,25°06'N,Kota Barrage,75°51'E
222,29°55'N,Baijnath,79°37'E
223,29°45'N,Kotdwara,78°32'E
224,23°15'N,Baikunthpur,82°33'E
225,25°20'N,Kothari,75°04'E
226,22°30'N,Baj Baj,88°05'E
227,23°21'N,"Kothi, Chhattisgarh",82°03'E
228,22°40'N,Bajag,81°21'E
229,24°45'N,"Kothi, Mad. P.",80°40'E
230,23°07'N,Bajana,71°49'E
231,23°12'N,Kotma,81°58'E
232,24°15'N,Bakswaho,79°18'E
233,27°43'N,Kotputli,76°12'E
234,21°49'N,Balaghat,80°12'E
235,14°45'N,Kotturu,76°10'E
236,18°50'N,"Balaghat Ra.,",76°30'E
237,11°15'N,Kozhikode/Calicut,75°43'E
238,27°10'N,Balamau,80°21'E
239,15°57'N,Krishna,80°59'E
240,22°57'N,Balasinor,73°23'E
241,23°24'N,Krishnanagar,88°33'E
242,21°35'N,Balasore/Baleshwar,87°03'E
243,34°25'N,Kucha Gompa,76°56'E
244,21°35'N,Baleshwar,87°03'E
245,27°13'N,Kuchaman,74°47'E
246,25°11'N,Bali,73°17'E
247,21°44'N,Kuchinda,84°21'E
248,21°40'N,Baliapal,87°17'E
249,23°10'N,Kuda,71°15'E
250,26°50'N,Balipara,92°45'E
251,08°20'N,Kulasekarappattinam,78°05'E
252,25°46'N,Ballia,84°12'E
253,33°36'N,Kulgam,75°02'E
254,25°50'N,Balotra,72°14'E
255,23°43'N,Kulti,86°50'E
256,27°30'N,Balrampur,82°20'E
257,31°58'N,Kulu,77°06'E
258,25°15'N,Balurghat,88°44'E
259,10°58'N,Kumbakonam,79°25'E
260,25°22'N,Banaras/Varanasi,83°00'E
261,24°22'N,Kumbhraj,77°03'E
262,23°45'N,Banas Gujarat,71°25'E
263,33°32'N,Kumdok,78°10'E
264,24°15'N,"Banas, Med. P.",81°30'E
265,31°19'N,Kumharsain,77°27'E
266,24°03'N,"Banda, Mad. P.",78°57'E
267,25°43'N,Kunda,81°31'E
268,25°30'N,"Banda, Ut. P.",80°26'E
269,21°21'N,Kundla,71°25'E
270,26°09'N,Bandanwara,74°38'E
271,26°26'N,Kunwari,79°11'E
272,16°12'N,Bandar/Machilipatnam,81°08'E
273,22°04'N,Kuranga,69°10'E
274,23°40'N,Bandhogarh,81°02'E
275,26°37'N,Kuri,70°43'E
276,26°12'N,Bandi,75°47'E
277,15°45'N,Kurnool,78°00'E
278,27°03'N,Bandikui,76°34'E
279,23°10'N,Kushalgarh,74°27'E
280,21°34'N,Bangaduni L.,88°52'E
281,33°40'N,Kushol,76°36'E
282,12°59'N,Bangalore,77°40'E
283,23°17'N,Kusmi,83°55'E
284,27°06'N,Banganga,77°25'E
285,22°50'N,"Kutch, Gulf of/Kachchh, Gulf of",69°15'E
286,23°00'N,Bangaon,88°47'E
287,24°00'N,"Kutch, Rann of/Kachchh Rann of",70°00'E
288,35°50'N,Bangong Co,79°20'E
289,21°36'N,Kutiyana,70°02'E
290,33°30'N,Banihal Pass,75°12'E
291,26°25'N,Kuwana,83°15'E
292,31°38'N,Banjar,77°21'E
293,32°35'N,Kyelang,77°02'E
294,22°36'N,Banjar,80°22'E
295,10°00'N,Laccadive Is./Lakshadweep Is.,72°30'E
296,24°53'N,Banka,85°10'E
297,27°50'N,Lachhmangarh,75°04'E
298,25°35'N,Bankipore,85°10'E
299,34°00'N,Ladakh Ra.,78°00'E
300,23°11'N,Bankura,87°18'E
301,27°38'N,Ladnun,74°25'E
302,25°53'N,Banmankhi,87°11'E
303,26°12'N,Lahar,78°57'E
304,22°40'N,Bano,84°55'E
305,27°43'N,Laharpur,80°56'E
306,26°33'N,Bansgaon,83°21'E
307,26°09'N,Lakha,70°54'E
308,23°32'N,Banswara,74°24'E
309,27°57'N,Lakhimpur,80°46'E
310,21°29'N,Banttva,70°12'E
311,22°36'N,Lakhnadon,79°36'E
312,27°23'N,Bap,72°18'E
313,23°48'N,Lakhpat,68°47'E
314,15°55'N,Bapatla,80°30'E
315,29°46'N,Laksar,78°03'E
316,25°21'N,Bar Bigha,85°47'E
317,10°00'N,Lakshadweep Is.,72°30'E
318,25°16'N,Bara,81°43'E
319,22°58'N,Lakshmanpur,83°03'E
320,26°55'N,Bara Banki,81°12'E
321,22°05'N,Lakshmikantapur,88°20'E
322,27°42'N,Barah,77°05'E
323,24°30'N,Lala Ghat,92°40'E
324,25°15'N,Barail Range,93°20'E
325,25°52'N,Lalganj,85°13'E
326,24°07'N,Barakar,86°14'E
327,24°25'N,Lalgola,88°15'E
328,25°00'N,Barakhola,92°45'E
329,24°42'N,Lalitpur,78°28'E
330,21°33'N,Barakot,84°59'E
331,29°05'N,Lalkua,79°31'E
332,22°44'N,Barakpur,88°30'E
333,26°34'N,Lalsot,76°20'E
334,34°15'N,Baramula,74°20'E
335,22°08'N,Lamta,80°07'E
336,25°09'N,Baran,76°40'E
337,29°50'N,Lansdowne,78°41'E
338,22°46'N,Barasat,88°31'E
339,26°10'N,Lashkar,78°10'E
340,23°33'N,Barauda,75°15'E
341,23°45'N,Latehar,84°30'E
342,29°13'N,Baraut,77°07'E
343,27°43'N,Lathi,71°23'E
344,23°14'N,Barddhaman,87°39'E
345,51°12'N,Leh,16°10'E
346,28°22'N,Bareilly,79°27'E
347,22°34'N,Limbdi,71°51'E
348,23°06'N,Barela,80°03'E
349,23°25'N,Little Rann,71°25'E
350,25°29'N,Barh,85°46'E
351,23°27'N,Lohardaga,84°45'E
352,26°18'N,Barhaj,83°44'E
353,23°45'N,Loharia,74°14'E
354,24°52'N,Barharwa,87°47'E
355,28°27'N,Loharu,75°49'E
356,24°15'N,Barhi,85°25'E
357,15°30'N,Londa,74°30'E
358,26°39'N,Bari,77°39'E
359,22°17'N,Lormi,81°41'E
360,24°28'N,Bari Sadri,74°30'E
361,24°44'N,Luajan,85°01'E
362,23°37'N,Barkakana,85°29'E
363,26°50'N,Lucknow,81°0'E
364,25°45'N,Barmer,71°20'E
365,30°57'N,Ludhiana,75°56'E
366,25°21'N,Barna,83°03'E
367,25°11'N,Lukhisaria,86°05'E
368,23°07'N,Barnagar,75°19'E
369,23°43'N,Luna,69°16'E
370,30°23'N,Barnala,75°33'E
371,23°08'N,Lunavada,73°37'E
372,22°20'N,Baroda/Vadodara,73°10'E
373,22°55'N,Lunglei,92°45'E
374,25°29'N,Baroda,76°35'E
375,26°0'N,Luni,73°06'E
376,26°20'N,Barpeta,91°10'E
377,24°41'N,Luni,71°14'E
378,22°44'N,Barrackpur/Barakpur,88°30'E
379,28°29'N,Lunkaransar,73°44'E
380,18°10'N,Barsi,75°50'E
381,23°06'N,Machhu,70°46'E
382,25°48'N,Barsoi,87°57'E
383,16°12'N,MachilipatnaM,81°08'E
384,22°02'N,Barwani,74°57'E
385,18°0'N,Madha,75°30'E
386,20°03'N,Basim/Washim,77°00'E
387,21°15'N,Madhavpur,69°58'E
388,23°52'N,Basoda,77°54'E
389,26°11'N,Madhepura,86°23'E
390,30°44'N,Bassi,76°21'E
391,24°16'N,Madhupur,86°29'E
392,19°15'N,Bastar,81°40'E
393,22°50'N,Madhya Pradesh,78°0'E
394,26°52'N,Basti,82°55'E
395,12°30'N,Madikeri,75°45'E
396,31°48'N,Batala,75°12'E
397,11°0'N,Madras/TaMil Naidu,77°0'E
398,24°48'N,Bausi,87°01'E
399,24°16'N,Madri,73°32'E
400,26°55'N,Bayana,77°18'E
401,09°55'N,Madurai,78°10'E
402,24°20'N,Bearma,79°51'E
403,12°30'N,MadurantakaM,79°50'E
404,31°10'N,Beas,74°59'E
405,23°13'N,Magvana,69°22'E
406,26°03'N,Beawar,74°18'E
407,22°20'N,Mahadeo Hills,78°30'E
408,25°24'N,Begusarai,86°09'E
409,28°48'N,Mahajan,73°56'E
410,22°30'N,Behala,88°20'E
411,20°20'N,Mahan,86°25'E
412,25°50'N,Bela,82°00'E
413,20°30'N,Maharashtra,75°30'E
414,24°02'N,Belan,81°45'E
415,28°17'N,Mahbulnagar,76°14'E
416,15°55'N,Belgaum,74°35'E
417,33°10'N,Mahe,783°32'E
418,15°10'N,Bellary,76°56'E
419,28°17'N,Mahendragarh,76°14'E
420,23°15'N,Belonia,91°30'E
421,23°39'N,Mahesana,72°26'E
422,28°23'N,Belrain,80°55'E
423,22°11'N,Maheshwar,75°35'E
424,21°42'N,Bemetara,81°32'E
425,26°29'N,Mahgawan,78°37'E
426,25°22'N,Benares/Varanasi,83°00'E
427,2°15'N,Mahi,72°55'E
428,23°27'N,Ber Mota,68°34'E
429,25°5'N,Mahoba,79°55'E
430,25°15'N,Berach,75°02'E
431,21°05'N,Mahuva,71°48'E
432,24°02'N,Berhampore/Baharampur,88°27'E
433,24°16'N,Maihar,80°45'E
434,19°15'N,Berhampur/Brahmapur,84°54'E
435,22°0'N,Maikala Ra,81°0'E
436,26°48'N,Bettiah,84°33'E
437,28°17'N,Mailani,80°21'E
438,21°58'N,Betul,77°59'E
439,27°18'N,Mainpuri,79°04'E
440,23°59'N,Bewas,79°21'E
441,26°30'N,Mairabari,92°22'E
442,16°31'N,Bezwada/Vijayawada,80°39'E
443,22°02'N,Makrai,77°0'E
444,25°03'N,Bhabua,83°37'E
445,11°0'N,Malabar Coast,75°0'E
446,23°20'N,Bhachau,70°16'E
447,25°02'N,Maldah,88°09'E
448,22°17'N,"Bhadar, Gujarat",72°20'E
449,20°30'N,Malegaon,74°38'E
450,21°27'N,"Bhadar, Gujarat",69°47'E
451,30°32'N,Malerkotla,75°58'E
452,32°58'N,Bhadwrwah,75°46'E
453,24°17'N,Malhargarh,74°59'E
454,25°25'N,Bhadohi,82°34'E
455,23°05'N,Maliya,70°46'E
456,29°08'N,Bhadra,75°14'E
457,27°04'N,Mallawan,80°12'E
458,21°10'N,Bhadrakh,86°30'E
459,23°21'N,Malpur,73°27'W
460,22°19'N,Bhadran,72°06'E
461,26°17'N,Malpura,75°23'E
462,13°49'N,Bhadravati,75°40'E
463,16°02'N,Malvan,73°30'E
464,25°10'N,Bhagalpur,87°00'E
465,23°04'N,Man Bazaar,86°39'E
466,30°08'N,"Bhagirathi, Uttaranchal",78°35'E
467,32°16'N,Manali,77°10'E
468,23°25'N,"Bhagirathi, W. Bengal",88°23'E
469,26°12'N,Manas,90°40'E
470,31°30'N,Bhakra Dam,76°45'E
471,21°42'N,Mand,83°15'E
472,21°05'N,Bhandara,79°42'E
473,25°12'N,Mandalgarh,75°06'E
474,24°31'N,Bhanpura,75°44'E
475,31°39'N,Mandi,76°58'E
476,23°40'N,Bhanrer Ra.,79°5'E
477,29°58'N,Mandi Dabwali,74°42'E
478,26°19'N,Bhaptiahi,86°44'E
479,22°39'N,Mandla,80°30'E
480,23°44'N,"Bharatpur, Chhattisgarh",81°46'E
481,24°03'N,Mandsaur,75°08'E
482,27°15'N,"Bharatpur, Raj.",77°30'E
483,22°51'N,Mandvi,69°22'E
484,23°14'N,Bharno,84°53'E
485,12°30'N,Mandya,77°0'E
486,30°15'N,Bhatinda,74°57'E
487,12°55'N,Mangalore,74°47'E
488,22°50'N,Bhatpara,88°25'E
489,27°31'N,Mangan,88°32'E
490,29°36'N,Bhattu,75°19'E
491,24°41'N,Mangawan,81°33'E
492,21°45'N,Bhaunagar/Bhavnagar,72°10'E
493,29°44'N,Manglaur,77°49'E
494,21°45'N,Bhavnagar,72°10'E
495,21°07'N,Mangrol Mad. P.,70°07'E
496,25°42'N,Bhawari,73°04'E
497,25°20'N,Mangrol Raj.,76°31'E
498,21°51'N,Bhayavadar,70°15'E
499,25°21'N,Manihari,87°38'E
500,21°52'N,Bhikangaon,75°57'E
501,25°04'N,Manikpur,81°07'E
502,23°28'N,Bhilsa/Vidisha,77°53'E
503,25°0'N,Manipur,94°0'E
504,25°25'N,Bhilwara,74°38'E
505,18°49'N,Manjra,77°52'E
506,16°25'N,Bhima,77°17'E
507,20°18'N,ManMad,74°28'E
508,26°30'N,Bhind,78°46'E
509,22°23'N,Manoharpur,85°12'E
510,27°43'N,Bhinga,81°56'E
511,23°17'N,"Manpur, Chhattisgarh",83°35'E
512,25°00'N,Bhinmal,72°15'E
513,22°26'N,"Manpur,Mad. P.",75°37'E
514,19°20'N,Bhiwandi,73°00'E
515,23°27'N,Mansa Gujrat,72°45'E
516,28°50'N,Bhiwani,76°09'E
517,30°0'N,Mansa Punjab,75°27'E
518,22°26'N,Bhogava,72°20'E
519,18°40'N,Manthani,79°35'E
520,23°20'N,Bhopal,77°30'E
521,15°25'N,Marmagao,73°56'E
522,20°15'N,Bhubaneshwar,85°50'E
523,25°43'N,Marwar,73°45'E
524,23°15'N,Bhuj,69°49'E
525,26°07'N,Mashrakh,84°48'E
526,21°03'N,Bhusaval,75°46'E
527,23°33'N,Matanomadh,68°57'E
528,23°56'N,Biaora,76°56'E
529,27°30'N,Mathura,77°40'E
530,22°27'N,Bichia,80°42'E
531,26°56'N,Matiali,88°49'E
532,17°55'N,Bidar,77°35'E
533,21°40'N,Matla,88°40'E
534,26°49'N,Bidhuna,79°31'E
535,09°50'N,Mattancheri,76°15'E
536,25°05'N,Bihar,85°40'E
537,26°17M,Mau Mad. P.,78°41'E
538,25°00'N,Bihar,86°00'E
539,25°56'N,Mau Ut. P.,83°33'E
540,25°44'N,Bihariganj,86°59'E
541,25°17'N,"Mau, Ut. P.",81°23'E
542,26°02'N,Bijaipur,77°20'E
543,25°16'N,mau Ranjpur,79°08'E
544,18°50'N,"Bijapur, Chhattisgarh",80°50'E
545,24°50'N,Mauganj,81°55'E
546,16°50'N,"Bijapur, Karnataka",75°55'E
547,24°15'N,Mavli,7°.55'W
548,24°38'N,Bijawar,79°30'E
549,22°30'N,Mawai,81°04'E
550,29°27'N,Bijnor,78°11'E
551,29°06J,Mawana,77°58'E
552,28°02'N,Bikaner,73°18'E
553,22°25'N,Medinipur,87°21'E
554,26°30'N,Bikapur,82°07'E
555,29°01'N,Meerut,77°42'E
556,26°14'N,Bilara,73°53'E
557,21°38'N,Megasini,86°21'E
558,22°02'N,"Bilaspur, Chhattisgarh",82°15'E
559,25°50'N,Meghalaya,91°0'E
560,31°19'N,"Bilaspur, Punjab",76°50'E
561,26°58'N,Mehndawal,83°05'E
562,27°11'N,Bilgram,80°02'E
563,25°09'N,Meja,82°07'E
564,26°51'N,Bilhaur,80°05'E
565,12°20'N,Melagiri Hills,77°30'E
566,24°13'N,Bina-Etawah,78°14'E
567,33°35'N,Mendhar,74°10'E
568,26°02'N,Bindki,80°36'E
569,26°39'N,Merta,74°04'E
570,19°04'N,Bir,75°46'E
571,26°43'N,Merta Road,73°55'E
572,22°24'N,Birmitrapur,84°46'E
573,22°33'N,Mhow,75°50'E
574,28°11'N,Birsilpur,72°15'E
575,28°15'N,Minutang,96°30'E
576,13°30'N,Birur,75°55'E
577,16°50'N,Miraj,74°45'E
578,28°14'N,Bisalpur,79°48'E
579,25°10'N,Mirzapur,82°34'E
580,23°08'N,Bishnupur,87°20'E
581,25°10'N,Mirzapur-cum-Vindhyachal=Mirzapur,82°34'E
582,27°29'N,Biswan,81°02'E
583,21°50'N,Miyani,69°26'E
584,18°35'N,Bobbili,83°30'E
585,23°30'N,Mizoram,92°40'E
586,18°40'N,Bodhan,77°44'E
587,23°30'N,Modasa,73°21'E
588,23°46'N,Bokaro,85°55'E
589,30°48'N,Moga,75°08'E
590,23°40'N,Bolpur,87°45'E
591,24°43'N,Mohana,85°0'E
592,18°55'N,Bombay/Mumbai,72°50'E
593,26°41'N,Mohanlalganj,80°58'E
594,21°50'N,Bonaigarh,84°57'E
595,25°24'N,Mokameh,85°55'E
596,22°25'N,Borsad,72°54'E
597,26°15'N,Mokokchung,94°30'E
598,22°15'N,Botad,71°40'E
599,25°23'N,Monghyr/Munger,86°30'E
600,20°39'N,Brahmani,86°46'E
601,28°50'N,Moradabad,78°50'E
602,19°15'N,Brahmapur,84°54'E
603,26°14'N,Morar,78°14'E
604,27°48'N,Brahmaputra,95°30'E
605,22°50'N,Morbi,70°42'E
606,28°05'N,Budaun,79°10'E
607,26°13'N,Morel,76°36'E
608,22°30'N,Budge Budge/Baj Baj.,88°05'E
609,26°30'N,Morena,78°04'E
610,28°28'N,Bulandshahr,77°51'E
611,25°29'N,Morhar,85°11'E
612,20°40'N,Bulsar/Valsad,72°58'E
613,25°43'N,Moth,78°57'E
614,25°30'N,Bundi,75°35'E
615,26°30'N,Motihari,84°55'E
616,25°50'N,Burda,77°35'E
617,26°06'N,Mubarakpur,83°18'E
618,23°14'N,Burdwan/Barddhaman,87°39'E
619,25°18'N,Mughal Sarai,83°07'E
620,21°18'N,Burhanpur,76°14'E
621,26°04'N,Muhammadabad,83°25'E
622,25°20'N,Burhi Gandak,86°37'E
623,24°49'N,Mukandwara,75°59'E
624,22°43'N,Burhner,80°31'E
625,31°57'N,Mukerian,75°37'E
626,27°45'N,Buxa Duar,89°35'E
627,30°30'N,Mukstar,74°30'E
628,25°34'N,Buxar,83°58'E
629,18°55'N,Mumbai,72°50'E
630,22°36'N,Calcutta/Kolkata,88°24'E
631,25°45'N,Munabao,70°17'E
632,11°15'N,Calicut,75°43'E
633,22°54'N,Mundra,69°48'E
634,22°23'N,Cambay/Khambhat,72°33'E
635,24°24'N,Mungaoli,78°07'E
636,20°45'N,"Cambay, G. of/Khambhat G. of",72°30'E
637,22°04'N,Mungeli,81°41'E
638,11°53'N,Cannanore,75°27'E
639,25°23'N,Munger,86°30'E
640,22°23'N,Canning Town/Port Canning,88°40'E
641,23°22'N,Muri,85°52'E
642,09°30'N,Cardamon Hills,77°15'E
643,2554'N,Murliganj,86°59'E
644,11°09'N,Cauvery,78°52'E
645,24°11'N,Murshidabad,88°19'E
646,26°28'N,Cawnpore/Kanpur,80°20'E
647,24°11'N,Murshidabad,88°19'E
648,22°42'N,chaibasa,85°49'E
649,23°46'N,Murwara,80°28'E
650,22°45'N,Chakradharpur,85°40'E
651,26°22'N,Musafirkhana,81°48'E
652,30°42'N,Chakrata,77°51'E
653,30°27'N,Mussoorie,78°06'E
654,20°30'N,Chalisgaon,75°10'E
655,29°26'N,Muzaffarnagar,77°40'W
656,32°35'N,Chamba,76°10'E
657,26°07'N,Muzaffarpur,85°23'E
658,26°29'N,Chambal,79°15'E
659,26°15'N,Myjlar,70°20'E
660,30°24'N,Chamoli,79°21'E
661,13°15'N,Mysore/Karnataka,77°0'E
662,22°02'N,Champa,82°43'E
663,12°17'N,Mysore,76°41'E
664,29°20'N,Champawat,80°06'E
665,23°34'N,Babadwip/Navadwip,88°20'E
666,22°05'N,Champua,85°40'E
667,30°26'N,Nabha,76°14'E
668,23°44'N,Chanasma,72°05'E
669,27°34'N,Nachna,71°41'E
670,21°57'N,Chand,79°07'E
671,22°41'N,Nadiad,72°56'E
672,24°38'N,Chandan,86°40'E
673,26°0'N,Nagaland,94°30'E
